DBMS_uriform,card_title,card_title_href,card_img_href,card_text,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Data_Model_mapping,has_open_source_github_repo,github_repo_link,org_name,repo_name,open_source_license
3store,3store,https://dbdb.io/db/3store,https://dbdb.io/media/logos/3store.png.200x200_q85.png,"Last updated July 18, 2019, 6:01 p.m.","3store is an RDF ""triple store"", written in C and backed by MySQL and Berkeley DB. It is an optimization and port of an older triple store (WebKBC). It provides access to the RDF data via RDQL or SPARQL over HTTP, on the command line or via a C API.",Triplestore (RDF),SPARQL,Shared-Everything,http://threestore.sourceforge.net/,https://sourceforge.net/projects/threestore/,http://threestore.sourceforge.net/documentation.php,Southampton University,GB,2003,2006,"Academic,Open Source",C,C,"Berkeley DB,MySQL",GPL v2,,RDF,,,,,Y
4store,4store,https://dbdb.io/db/4store,https://dbdb.io/media/logos/4store.png.200x200_q85.png,"Last updated June 3, 2018, 8:21 p.m.",,Triplestore (RDF),SPARQL,,https://4store.danielknoell.de/,https://github.com/4store/4store,,,GB,2009,,Open Source,C,,,GPL v3,,RDF,Y,4store/4store,4store,4store,Y
abhot,abhot,https://dbdb.io/db/abhot,,"Last updated June 3, 2018, 10:41 p.m.","abhot (""A Brief History Of Time"") is a time-series database management system. It is a fork of KairosDB.",,,,https://github.com/quqiangsheng/abhot,https://github.com/quqiangsheng/abhot,,,CN,2017,,"Academic,Open Source",Java,,,Apache v2,,,Y,quqiangsheng/abhot,quqiangsheng,abhot,Y
accumulo,Accumulo,https://dbdb.io/db/accumulo,https://dbdb.io/media/logos/accumulo.svg,"Last updated June 26, 2022, 11:18 p.m.","Apache Accumulo is a sorted, distributed key-value store based on Google's Bigtable, HDFS and Apache Zookeeper. First designed and developed by a team in NSA, Accumulo's mission is to support big data storing and processing, but at the same time enforce fine-grained data access control. In particular, the team in NSA extends Bigtable in a way that Accumulo can control the access of individual data elements. Accumulo is currently an open source project under Apache v2 license.",Column Family,"Custom API,Command-line / Shell",Shared-Disk,http://accumulo.apache.org/,https://github.com/apache/accumulo,https://accumulo.apache.org/docs/2.x/,US National Security Agency,US,2008,,Open Source,Java,,,Apache v2,,Wide column,Y,apache/accumulo,apache,accumulo,Y
acedb,AceDB,https://dbdb.io/db/acedb,https://dbdb.io/media/logos/acedb.png.200x200_q85.png,"Last updated May 28, 2018, 10:32 p.m.","AceDB (""a C. elegans database"") is a biological database for handling genomic data. It was developed by Richard M. Durbin and Jean Thierry-Mieg in 1989.",,,,http://www.acedb.org/,https://github.com/richarddurbin/acedb,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989,2018,"Academic,Open Source",C,,,"GPL v2,LGPL v2",,,Y,richarddurbin/acedb,richarddurbin,acedb,Y
actordb,ActorDB,https://dbdb.io/db/actordb,https://dbdb.io/media/logos/actordb.png.200x200_q85.png,"Last updated Dec. 10, 2019, 5:26 p.m.","ActorDB is a distributed relational SQL database, which is strongly consistent, massively concurrent, and horizontally scalable. It supports no single point of failure and uses no global read or write locks. To achieve the features provided, ActorDB uses Raft distributed consensus algorithm on top of an existing stable SQL database engine. ActorDB splits the dataset into small independent chunks, which is inspired by the ""Actor Model"". The database is designed for microservices, saas solutions, and (mobile) app backends.",Relational,"Custom API,SQL",Shared-Nothing,http://www.actordb.com/,https://github.com/biokoda/actordb,http://www.actordb.com/docs-about.html,Biokoda,SI,2014,,"Commercial,Open Source",Erlang,Erlang,"LMDB,SQLite",Mozilla Public License,"Linux,OS X,Windows",Relational,Y,biokoda/actordb,biokoda,actordb,Y
aerospike,Aerospike,https://dbdb.io/db/aerospike,https://dbdb.io/media/logos/aerospike.svg,"Last updated June 26, 2022, 11:24 p.m.",Aerospike is a distributed key-value DBMS. It is mainly targeted at OLTP workloads with large number of transactions. It is developed by a company of the same name.,Key/Value,Custom API,Shared-Nothing,http://www.aerospike.com/,https://github.com/aerospike/aerospike-server,https://www.aerospike.com/docs/,"Aerospike, Inc.",US,2009,,"Commercial,Open Source",C,"C,C#,C++,Go,PHP,Python,Ruby,Rust",,AGPL v3,Linux,Key-value,Y,aerospike/aerospike-server,aerospike,aerospike-server,Y
agatedb,AgateDB,https://dbdb.io/db/agatedb,,"Last updated May 8, 2022, 3:09 p.m.","AgateDB is an embeddable, persistent key-value DBMS written in Rust. It is built by Pingcap as a replacement for,TiKV,.",Key/Value,Custom API,Embedded,https://github.com/tikv/agatedb,https://github.com/tikv/agatedb,,PingCAP,CN,2019,,"Industrial Research,Open Source",Rust,Rust,,Apache v2,,Key-value,Y,tikv/agatedb,tikv,agatedb,Y
agensgraph,AgensGraph,https://dbdb.io/db/agensgraph,https://dbdb.io/media/logos/agensgraph.png.200x200_q85.png,"Last updated Jan. 6, 2022, 12:19 p.m.","AgensGraph is a multi-model database based on PostgreSQL RDBMS, and supports both relational and graph data models. AgensGraph enables developers to integrate the legacy relational data model and the flexible graph data model in one database. AgensGraph supports Ansi-SQL and Open Cypher. SQL queries and Cypher queries can be integrated into a single query in AgensGraph. AgensGraph provides database features essential to the enterprise database environment including ACID transactions, multi-version concurrency control, stored procedure, triggers, constraints, sophisticated monitoring and a flexible data model (JSON). AgensGraph is designed to offer all the features provided by PostgreSQL and process graph queries using Cypher, a graph query language. Internally, they are largely divided into the PostgreSQL processor and the Graph processor, both of which jointly use cache and transaction areas. Users may take advantage of better performance and more convenient implementation by simultaneously performing SQL and Cypher queries on a single query.","Relational,Key/Value,Document / XML,Graph","SQL,Cypher",Shared-Everything,http://bitnine.net/agensgraph/,https://github.com/bitnine-oss/agensgraph,http://bitnine.net/documentation/,"Bitnine Co, Ltd.",US,2013,,"Commercial,Open Source",C,,,Apache v2,"Linux,OS X,Windows","Relational,Key-value,Document,Graph",Y,bitnine-oss/agensgraph,bitnine-oss,agensgraph,Y
akdb,AKDB,https://dbdb.io/db/akdb,https://dbdb.io/media/logos/akdb.svg,"Last updated June 26, 2022, 11:23 p.m.","AKDB (""Avtomat Kalasnikova Database"") is an educational relational DBMS developed at the University of Zagreb.",Relational,SQL,Shared-Everything,https://ailab-foi.github.io/akdb/,https://github.com/AILab-FOI/akdb,,University of Zagreb,HR,2009,,"Academic,Educational,Open Source",C,,,,"Linux,OS X,Windows",Relational,Y,AILab-FOI/akdb,AILab-FOI,akdb,Y
